"No.","Protocol","Length","Time","Source","Info","Destination"
"83","UDP","1042","5.018051736","127.0.0.1","43006  >  44003 Len=1000","127.0.0.1"
"84","UDP","1042","5.018077625","127.0.0.1","44003  >  43006 Len=1000","127.0.0.1"
"85","UDP","82","5.018146410","127.0.0.1","35564  >  43003 Len=40","127.0.0.1"
"86","UDP","54","5.018171361","127.0.0.1","43003  >  35564 Len=12","127.0.0.1"
"87","UDP","1042","5.018237970","127.0.0.1","47201  >  42003 Len=1000","127.0.0.1"
"88","UDP","1042","5.018272367","127.0.0.1","42003  >  47201 Len=1000","127.0.0.1"
"89","UDP","1042","5.018341077","127.0.0.1","49224  >  44003 Len=1000","127.0.0.1"
"90","UDP","1042","5.018374868","127.0.0.1","44003  >  49224 Len=1000","127.0.0.1"
"91","UDP","82","5.018445651","127.0.0.1","56699  >  43003 Len=40","127.0.0.1"
"92","UDP","54","5.018469455","127.0.0.1","43003  >  56699 Len=12","127.0.0.1"
"93","UDP","1042","5.018539614","127.0.0.1","59183  >  42003 Len=1000","127.0.0.1"
"94","UDP","1042","5.018564443","127.0.0.1","42003  >  59183 Len=1000","127.0.0.1"
"95","UDP","1042","5.018631693","127.0.0.1","56460  >  44003 Len=1000","127.0.0.1"
"96","UDP","1042","5.018656171","127.0.0.1","44003  >  56460 Len=1000","127.0.0.1"
"97","UDP","82","5.520265288","127.0.0.1","36437  >  43003 Len=40","127.0.0.1"
"98","UDP","54","5.520325062","127.0.0.1","43003  >  36437 Len=12","127.0.0.1"
"99","UDP","1042","5.520392165","127.0.0.1","45565  >  42003 Len=1000","127.0.0.1"
"100","UDP","1042","5.520439674","127.0.0.1","42003  >  45565 Len=1000","127.0.0.1"
"101","UDP","1042","5.520494448","127.0.0.1","56632  >  44003 Len=1000","127.0.0.1"
"102","UDP","1042","5.520541732","127.0.0.1","44003  >  56632 Len=1000","127.0.0.1"
"103","UDP","82","5.520595065","127.0.0.1","50978  >  43003 Len=40","127.0.0.1"
"104","UDP","54","5.520617053","127.0.0.1","43003  >  50978 Len=12","127.0.0.1"
"105","UDP","1042","5.520663050","127.0.0.1","59469  >  42003 Len=1000","127.0.0.1"
